# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_biocube
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
ttt_random_weapon	566.161377 -84.305321 49.533760	1.643 4.764 266.872
ttt_random_weapon	727.751465 114.791847 49.510845	1.902 4.782 267.464
ttt_random_weapon	631.164063 -10.735087 1.219000	1.661 4.923 266.912
ttt_random_weapon	406.142059 1581.000732 1.224548	1.598 4.919 266.769
ttt_random_weapon	667.256653 94.875610 1.204313	1.827 4.929 267.292
ttt_random_weapon	-85.804283 -697.659912 40.709095	1.512 4.912 266.571
ttt_random_weapon	-1366.128174 -1447.532715 1.216715	1.687 4.924 266.971
ttt_random_weapon	-1358.075439 -846.458923 1.208117	1.784 4.928 267.194
ttt_random_weapon	-1424.910522 -739.688904 273.229523	1.542 4.682 266.640
ttt_random_weapon	-828.486877 152.075378 273.225494	1.588 4.688 266.744
ttt_random_weapon	-1133.313965 177.470978 1.201358	1.860 4.715 267.368
ttt_random_weapon	-823.475037 -1057.512329 1.230336	1.533 4.680 266.619
ttt_random_weapon	-831.621460 -1098.175537 178.938156	2.438 4.093 268.020
ttt_random_weapon	-829.131287 -992.748230 178.987152	1.566 4.487 266.055
ttt_random_weapon	-824.424805 -1295.442749 273.231079	1.524 4.980 266.599
ttt_random_weapon	-366.293793 -1488.899536 289.193146	1.952 4.926 267.580
ttt_random_weapon	-8.638275 717.664734 17.210466	1.757 4.928 267.133
ttt_random_weapon	-1248.138184 1377.966797 79.078453	3.423 3.781 272.001
ttt_random_weapon	-1305.213623 1253.159546 161.230759	1.528 4.736 266.608
ttt_random_weapon	-1073.458130 693.194031 229.144836	1.809 5.435 267.554
ttt_random_weapon	-1295.497681 697.097961 229.176315	1.646 5.428 267.182
ttt_random_weapon	-952.103943 1140.947388 449.219666	1.653 4.989 266.895
ttt_random_weapon	-955.280518 1269.847534 449.233032	1.502 4.977 266.549
ttt_random_weapon	-832.681396 -773.264954 401.228912	1.549 4.983 266.656
ttt_random_weapon	-840.829407 -667.463623 401.233246	1.500 4.977 266.543
weapon_zm_molotov	618.155823 -631.870300 848.171204	358.098 358.620 358.632
weapon_zm_molotov	-1413.633545 1019.854553 160.156372	357.614 358.786 358.285
weapon_zm_molotov	-1408.504517 1072.666626 160.161469	357.811 358.693 358.385
weapon_zm_molotov	-1381.394287 -835.826050 0.149337	358.280 358.623 358.248
weapon_zm_molotov	-820.633606 -722.610657 400.169403	358.040 358.621 358.590
weapon_zm_molotov	-943.476440 1243.817871 448.158569	357.687 358.701 358.335
ttt_random_rare	562.591492 -0.832947 0.324535	0.001 0.000 -0.001
ttt_random_rare	734.808655 -721.580322 272.414490	-0.029 42.802 -0.088
ttt_random_rare	-325.093750 -1486.665649 288.376221	0.004 -0.109 -0.016
ttt_random_rare	-1093.272461 1128.392456 448.401398	0.004 0.000 0.004
ttt_random_rare	458.063904 -577.304077 848.364502	0.001 0.000 0.000
ttt_random_rare	-831.567261 363.510040 72.159744	0.009 -0.000 0.010
ttt_random_rare	682.020325 1321.473267 208.466644	-0.002 -4.623 0.129
ttt_random_rare	-1095.495972 963.561951 299.856293	-0.016 0.000 0.016
ttt_random_rare	-1453.648071 1444.877197 128.338318	0.008 0.021 -0.006
ttt_random_rare	-827.234863 -1220.188721 178.059967	0.381 -0.016 0.085
ttt_random_ammo	334.865906 -548.805664 128.349045	0.051 0.000 0.014
ttt_random_ammo	334.418152 -517.803284 128.357513	0.059 0.000 359.999
ttt_random_ammo	532.591492 -323.604919 128.335983	359.953 0.000 359.973
ttt_random_ammo	544.680054 -321.234833 128.370590	359.909 0.000 0.045
ttt_random_ammo	604.360535 -459.898529 848.337646	0.047 0.000 359.975
ttt_random_ammo	620.611145 -461.751007 848.380981	0.195 0.001 0.177
ttt_random_ammo	1453.675903 -1267.780273 128.342300	0.048 0.000 359.979
ttt_random_ammo	1443.430176 -1270.120850 128.383972	0.241 0.001 0.235
ttt_random_ammo	1254.815674 -1456.745850 128.393692	0.818 0.009 0.941
ttt_random_ammo	1266.018677 -1450.152832 128.335251	0.046 0.000 359.973
ttt_random_ammo	1269.898315 -1331.517578 128.431946	0.969 358.426 1.192
ttt_random_ammo	1265.034424 -1326.255249 128.483719	1.533 0.110 1.857
ttt_random_ammo	1328.426880 -1265.559326 130.683853	1.366 309.724 90.008
ttt_random_ammo	1315.105835 -1256.101074 130.711395	0.000 33.025 270.000
ttt_random_ammo	58.113865 -1457.446533 128.349030	0.051 0.000 359.986
ttt_random_ammo	65.279823 -1456.433716 128.483887	1.509 0.055 1.829
ttt_random_ammo	54.922440 -865.391479 128.385330	0.280 0.001 0.283
ttt_random_ammo	72.834587 -853.099182 128.325317	0.046 0.000 359.968
ttt_random_ammo	1341.955566 -1032.515259 128.423080	1.566 0.040 1.899
ttt_random_ammo	1330.976929 -1029.867920 128.339981	0.047 0.000 359.977
ttt_random_ammo	1029.719849 -1340.490845 128.337631	0.047 0.000 359.975
ttt_random_ammo	1036.149658 -1331.395386 128.349030	0.051 0.000 359.986
ttt_random_ammo	1320.209229 544.954285 51.437691	0.045 0.000 0.032
ttt_random_ammo	1330.084595 545.468872 51.479771	0.076 0.000 359.972
ttt_random_ammo	1209.734497 1076.884521 51.447056	0.044 0.000 359.970
ttt_random_ammo	1222.443604 1077.057861 51.472374	0.051 0.000 359.992
ttt_random_ammo	1213.777222 1556.077393 64.657188	0.044 0.000 0.029
ttt_random_ammo	1205.696411 1553.028931 64.739105	1.381 359.966 358.355
ttt_random_ammo	562.746094 -94.840149 48.727528	1.605 359.957 358.089
ttt_random_ammo	573.086243 -94.192184 48.691105	0.072 0.000 359.976
ttt_random_ammo	737.639099 102.836792 48.661709	0.044 0.000 0.027
ttt_random_ammo	727.927795 102.604973 48.678299	0.050 0.000 0.010
ttt_random_ammo	638.768311 -17.375265 0.359542	0.063 0.000 0.006
ttt_random_ammo	625.808655 -18.403255 0.344582	0.048 0.000 359.981
ttt_random_ammo	417.454620 1574.164063 0.330378	0.046 0.000 0.029
ttt_random_ammo	406.592163 1570.775269 0.361535	0.067 0.000 0.012
ttt_random_ammo	674.806702 82.261566 0.393804	0.803 0.008 0.923
ttt_random_ammo	668.228271 83.944847 0.314749	0.047 0.000 359.964
ttt_random_ammo	-93.829773 -689.289307 39.871773	1.091 359.985 358.726
ttt_random_ammo	-89.588005 -706.984985 39.857826	0.172 359.999 359.850
ttt_random_ammo	-1383.790161 -1458.862427 0.374480	0.122 0.000 0.085
ttt_random_ammo	-1366.027466 -1455.909668 0.351205	0.052 0.000 359.989
ttt_random_ammo	-1365.785767 -829.663696 0.335244	0.046 0.000 359.973
ttt_random_ammo	-1352.000244 -824.500977 0.374488	0.121 0.000 0.084
ttt_random_ammo	-1425.482300 -759.868408 272.342316	0.048 0.000 359.979
ttt_random_ammo	-1434.111572 -755.531921 272.342316	0.048 0.000 359.978
ttt_random_ammo	-832.742676 168.234543 272.356354	359.942 0.000 359.997
ttt_random_ammo	-818.751892 168.579117 272.365448	0.077 0.000 0.026
ttt_random_ammo	-1132.814209 165.838913 0.437759	358.837 356.603 358.450
ttt_random_ammo	-1141.960205 172.844971 0.374487	0.122 0.000 0.085
ttt_random_ammo	-1127.159790 166.123688 2.693637	89.530 321.301 331.030
ttt_random_ammo	-813.061951 -1061.281616 0.322740	0.047 0.000 359.967
ttt_random_ammo	-824.554443 -1062.574097 0.389120	0.416 0.003 0.450
ttt_random_ammo	-817.423645 -1107.089722 178.172318	0.311 0.051 0.042
ttt_random_ammo	-825.483337 -1102.765381 178.192444	0.335 359.928 0.042
ttt_random_ammo	-812.860291 -1000.247192 178.116745	0.305 359.762 359.959
ttt_random_ammo	-821.249817 -998.999329 178.128860	0.328 359.978 359.862
ttt_random_ammo	-811.959961 -1312.039673 272.360565	359.897 359.880 359.747
ttt_random_ammo	-824.217224 -1307.433716 272.392914	0.727 0.007 0.830
ttt_random_ammo	-356.238647 -1495.993530 288.406738	359.163 359.991 0.965
ttt_random_ammo	-369.816071 -1495.244507 288.387787	359.756 359.999 0.239
ttt_random_ammo	-2.939050 705.303833 16.355444	0.057 0.000 359.996
ttt_random_ammo	-12.005875 707.346680 16.359539	0.063 0.000 0.006
ttt_random_ammo	-1254.445557 1387.871704 78.687218	359.953 0.787 2.009
ttt_random_ammo	-1246.656250 1389.657593 78.774811	359.980 0.795 1.883
ttt_random_ammo	-1295.414429 1247.252197 160.341492	359.969 359.883 359.884
ttt_random_ammo	-1307.545898 1244.573730 160.357529	0.060 0.000 0.001
ttt_random_ammo	-1065.685059 684.064880 228.357132	359.929 0.151 0.325
ttt_random_ammo	-1076.563354 683.613098 228.289322	0.149 359.962 0.494
ttt_random_ammo	-1300.467407 686.909851 228.266800	0.201 359.969 0.579
ttt_random_ammo	-1289.998291 685.641663 228.285614	359.830 0.056 0.529
ttt_random_ammo	-942.191040 1133.372437 448.314789	0.048 0.000 0.036
ttt_random_ammo	-957.883118 1128.869873 448.390228	0.476 0.003 0.524
ttt_random_ammo	-942.077148 1258.037964 448.346863	0.050 0.000 0.017
ttt_random_ammo	-953.497803 1260.685303 448.378357	359.861 0.000 0.107
ttt_random_ammo	-821.335571 -784.825256 400.435394	1.315 359.968 358.402
ttt_random_ammo	-830.367493 -785.943848 400.332825	0.047 0.000 359.972
ttt_random_ammo	-821.768494 -672.225525 400.365417	0.078 0.000 0.027
ttt_random_ammo	-843.107849 -677.652222 400.357513	0.060 0.000 359.999
ttt_random_ammo	-268.228058 -1170.485596 0.351204	0.052 0.000 359.989
ttt_random_ammo	-283.709381 -1199.958130 0.349032	0.051 0.000 359.986
ttt_random_ammo	-332.669647 -1183.600708 0.380992	0.191 0.001 0.173
ttt_random_ammo	-350.427521 -1206.494263 0.444402	1.107 0.028 1.342
ttt_random_ammo	-386.500061 -1212.549927 0.337633	0.047 0.000 359.975
ttt_random_ammo	-407.201935 -1189.587769 0.355442	0.057 0.000 359.996
item_ammo_revolver_ttt	609.418335 -623.233948 848.375793	0.459 0.055 0.038
item_ammo_revolver_ttt	627.492676 -615.219421 848.334534	0.450 0.063 0.055
weapon_ttt_confgrenade	347.302551 -506.663544 130.138779	323.595 310.416 268.981
weapon_ttt_confgrenade	813.648010 -787.735535 128.215515	356.528 358.075 6.034
weapon_ttt_confgrenade	877.579834 -1015.834412 128.235107	357.548 357.331 4.254
weapon_ttt_confgrenade	1129.475708 -1006.401550 128.223969	356.970 357.475 5.262
weapon_ttt_confgrenade	-1409.385132 969.644165 162.154221	13.002 327.857 269.196
weapon_zm_revolver	608.330872 -611.780212 848.850403	3.237 343.468 276.336
