# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clue_se
# Exported by: KLUTZ
setting:	replacespawns 0
ttt_random_weapon	632.208008 222.416000 9.372910	0.000 0.000 0.000
ttt_random_weapon	182.246994 855.263000 33.372898	0.000 0.000 0.000
ttt_random_weapon	182.246994 827.263000 33.372898	0.000 0.000 0.000
ttt_random_weapon	313.628998 1345.650024 33.372898	0.000 0.000 0.000
ttt_random_weapon	313.628998 1317.650024 33.372898	0.000 0.000 0.000
ttt_random_weapon	192.244003 978.570984 33.372898	0.000 0.000 0.000
ttt_random_weapon	192.244003 950.570984 33.372898	0.000 0.000 0.000
ttt_random_weapon	-215.074997 902.041992 9.372910	0.000 0.000 0.000
ttt_random_weapon	-215.074997 874.041992 9.372910	0.000 0.000 0.000
ttt_random_weapon	112.228996 646.812988 -106.626999	0.000 0.000 0.000
ttt_random_weapon	112.228996 618.812988 -106.626999	0.000 0.000 0.000
ttt_random_weapon	-218.634003 355.348999 -106.626999	0.000 0.000 0.000
ttt_random_weapon	-218.634003 327.348999 -106.626999	0.000 0.000 0.000
ttt_random_weapon	677.276001 313.399994 209.373001	0.000 0.000 0.000
ttt_random_weapon	677.276001 285.399994 209.373001	0.000 0.000 0.000
ttt_random_weapon	696.258972 -237.492004 209.373001	0.000 0.000 0.000
ttt_random_weapon	696.258972 -265.492004 209.373001	0.000 0.000 0.000
ttt_random_weapon	408.825989 -21.615700 209.373001	0.000 0.000 0.000
ttt_random_weapon	408.825989 -49.615700 209.373001	0.000 0.000 0.000
ttt_random_weapon	-109.930000 241.673996 -106.626999	0.000 0.000 0.000
ttt_random_weapon	-109.930000 269.674011 -106.626999	0.000 0.000 0.000
ttt_random_weapon	-195.192993 631.301025 -106.626999	0.000 0.000 0.000
ttt_random_weapon	-195.192993 659.301025 -106.626999	0.000 0.000 0.000
ttt_random_weapon	481.582001 -581.174988 9.372910	0.000 0.000 0.000
ttt_random_weapon	481.582001 -553.174988 9.372910	0.000 0.000 0.000
ttt_random_weapon	703.594971 -140.697998 9.372910	0.000 0.000 0.000
ttt_random_weapon	703.594971 -112.697998 9.372910	0.000 0.000 0.000
ttt_random_weapon	706.374023 665.145996 33.372898	0.000 0.000 0.000
ttt_random_weapon	706.374023 693.145996 33.372898	0.000 0.000 0.000
ttt_random_weapon	547.877991 673.294006 33.372898	0.000 0.000 0.000
ttt_random_weapon	547.877991 701.294006 33.372898	0.000 0.000 0.000
ttt_random_weapon	170.003998 -65.628197 369.372986	0.000 0.000 0.000
ttt_random_weapon	177.426407 -41.526508 369.372986	0.000 -1.320 0.000
ttt_random_weapon	461.755005 225.783997 369.372986	0.000 0.000 0.000
ttt_random_weapon	461.755005 253.783997 369.372986	0.000 0.000 0.000
ttt_random_weapon	538.443970 146.712997 369.372986	0.000 0.000 0.000
ttt_random_weapon	538.443970 174.712997 369.372986	0.000 0.000 0.000
ttt_random_weapon	588.153992 -29.143900 369.372986	0.000 0.000 0.000
ttt_random_weapon	588.153992 -1.143920 369.372986	0.000 0.000 0.000
ttt_random_weapon	37.925137 -542.604736 25.203411	1.837 4.777 -92.685
ttt_random_weapon	349.078339 -597.804688 25.222179	1.625 4.763 -93.170
ttt_random_ammo	190.000000 -170.000000 4.000000	0.000 0.000 0.000
ttt_random_ammo	190.000000 -198.000000 4.000000	0.000 0.000 0.000
ttt_random_ammo	257.394989 195.225998 381.975006	0.000 0.000 0.000
ttt_random_ammo	257.394989 223.225998 381.975006	0.000 0.000 0.000
ttt_random_ammo	696.692993 778.801025 360.372986	0.000 0.000 0.000
ttt_random_ammo	696.692993 806.801025 360.372986	0.000 0.000 0.000
ttt_random_ammo	-370.765991 433.088989 200.373001	0.000 0.000 0.000
ttt_random_ammo	-370.765991 461.088989 200.373001	0.000 0.000 0.000
ttt_random_ammo	-72.849403 160.052002 201.373001	0.000 0.000 0.000
ttt_random_ammo	-72.849403 188.052002 201.373001	0.000 0.000 0.000
ttt_random_ammo	-341.937988 747.065979 200.373001	0.000 0.000 0.000
ttt_random_ammo	-341.937988 775.065979 200.373001	0.000 0.000 0.000
ttt_random_ammo	-109.075996 -300.279999 0.372913	0.000 0.000 0.000
ttt_random_ammo	-109.075996 -272.279999 0.372913	0.000 0.000 0.000
ttt_random_ammo	597.625977 -600.916016 0.372913	0.000 0.000 0.000
ttt_random_ammo	597.625977 -572.916016 0.372913	0.000 0.000 0.000
ttt_random_ammo	728.625000 54.070702 0.372913	0.000 0.000 0.000
ttt_random_ammo	728.625000 82.070702 0.372913	0.000 0.000 0.000
ttt_random_ammo	647.208008 214.416000 0.372913	0.000 0.000 0.000
ttt_random_ammo	647.208008 242.416000 0.372913	0.000 0.000 0.000
ttt_random_ammo	197.246994 819.263000 24.372900	0.000 0.000 0.000
ttt_random_ammo	197.246994 847.263000 24.372900	0.000 0.000 0.000
ttt_random_ammo	328.628998 1309.650024 24.372900	0.000 0.000 0.000
ttt_random_ammo	328.628998 1337.650024 24.372900	0.000 0.000 0.000
ttt_random_ammo	207.244003 942.570984 24.372900	0.000 0.000 0.000
ttt_random_ammo	207.244003 970.570984 24.372900	0.000 0.000 0.000
ttt_random_ammo	-200.074997 866.041992 0.372913	0.000 0.000 0.000
ttt_random_ammo	-200.074997 894.041992 0.372913	0.000 0.000 0.000
ttt_random_ammo	127.228996 610.812988 -115.626999	0.000 0.000 0.000
ttt_random_ammo	127.228996 638.812988 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-203.634003 319.348999 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-203.634003 347.348999 -115.626999	0.000 0.000 0.000
ttt_random_ammo	692.276001 277.399994 200.373001	0.000 0.000 0.000
ttt_random_ammo	692.276001 305.399994 200.373001	0.000 0.000 0.000
ttt_random_ammo	711.258972 -273.492004 200.373001	0.000 0.000 0.000
ttt_random_ammo	711.258972 -245.492004 200.373001	0.000 0.000 0.000
ttt_random_ammo	423.825989 -57.615700 200.373001	0.000 0.000 0.000
ttt_random_ammo	423.825989 -29.615700 200.373001	0.000 0.000 0.000
ttt_random_ammo	623.413025 241.686005 0.000600	0.000 0.000 0.000
ttt_random_ammo	623.413025 213.686005 0.000600	0.000 0.000 0.000
ttt_random_ammo	697.986023 73.593903 0.000600	0.000 0.000 0.000
ttt_random_ammo	697.986023 45.593899 0.000600	0.000 0.000 0.000
ttt_random_ammo	608.979004 -544.401978 0.000600	0.000 0.000 0.000
ttt_random_ammo	608.979004 -572.401978 0.000600	0.000 0.000 0.000
ttt_random_ammo	-94.930199 233.673996 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-94.930199 261.674011 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-83.577301 262.187988 -115.999001	0.000 0.000 0.000
ttt_random_ammo	-83.577301 290.187988 -115.999001	0.000 0.000 0.000
ttt_random_ammo	-180.192993 623.301025 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-180.192993 651.301025 -115.626999	0.000 0.000 0.000
ttt_random_ammo	-168.839996 651.815002 -115.999001	0.000 0.000 0.000
ttt_random_ammo	-168.839996 679.815002 -115.999001	0.000 0.000 0.000
ttt_random_ammo	496.582001 -589.174988 0.372910	0.000 0.000 0.000
ttt_random_ammo	496.582001 -561.174988 0.372910	0.000 0.000 0.000
ttt_random_ammo	718.594971 -148.697998 0.372910	0.000 0.000 0.000
ttt_random_ammo	718.594971 -120.697998 0.372910	0.000 0.000 0.000
ttt_random_ammo	721.374023 657.145996 24.372900	0.000 0.000 0.000
ttt_random_ammo	721.374023 685.145996 24.372900	0.000 0.000 0.000
ttt_random_ammo	562.877991 665.294006 24.372900	0.000 0.000 0.000
ttt_random_ammo	562.877991 693.294006 24.372900	0.000 0.000 0.000
ttt_random_ammo	185.003998 -73.628197 360.372986	0.000 0.000 0.000
ttt_random_ammo	185.003998 -45.628201 360.372986	0.000 0.000 0.000
ttt_random_ammo	476.755005 217.783997 360.372986	0.000 0.000 0.000
ttt_random_ammo	476.755005 245.783997 360.372986	0.000 0.000 0.000
ttt_random_ammo	553.443970 138.712997 360.372986	0.000 0.000 0.000
ttt_random_ammo	553.443970 166.712997 360.372986	0.000 0.000 0.000
ttt_random_ammo	603.153992 -37.143902 360.372986	0.000 0.000 0.000
ttt_random_ammo	603.153992 -9.143920 360.372986	0.000 0.000 0.000
ttt_random_ammo	467.528015 232.567993 360.001007	0.000 0.000 0.000
ttt_random_ammo	467.528015 204.567993 360.001007	0.000 0.000 0.000
ttt_random_ammo	544.216980 153.496994 360.001007	0.000 0.000 0.000
ttt_random_ammo	544.216980 125.497002 360.001007	0.000 0.000 0.000
