# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_forest_final
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
ttt_random_weapon	1833.560059 834.218994 5.109220	0.000 0.000 0.000
ttt_random_weapon	1440.770020 1977.359985 12.685500	0.000 0.000 0.000
ttt_random_weapon	423.627014 1920.119995 282.734009	0.000 0.000 0.000
ttt_random_weapon	236.806000 1824.189941 273.148010	0.000 0.000 0.000
ttt_random_weapon	-594.046021 2316.649902 284.934998	0.000 0.000 0.000
ttt_random_weapon	-1494.640015 983.669006 275.170990	0.000 0.000 0.000
ttt_random_weapon	-154.397995 -818.049011 -5.297000	0.000 0.000 0.000
ttt_random_weapon	-271.540009 -842.580017 -9.789170	0.000 0.000 0.000
ttt_random_weapon	569.110718 2755.868164 17.215754	1.698 4.672 -93.004
ttt_random_weapon	482.556274 2940.927002 265.223175	1.614 5.584 -93.196
ttt_random_weapon	15.223860 2946.246582 265.221222	1.636 5.587 -93.145
ttt_random_weapon	-1081.693970 3278.869629 17.205822	1.810 5.344 -92.747
ttt_random_weapon	991.984131 1960.371216 -62.919670	1.631 -4.678 -91.331
ttt_random_weapon	2073.181152 2216.251221 31.491632	-17.822 0.971 -4.759
ttt_random_weapon	2020.078125 1124.349243 13.633798	-22.141 -5.629 85.051
ttt_random_weapon	1850.414551 503.366333 0.056848	0.589 3.828 -93.403
ttt_random_weapon	2090.278809 967.724365 35.384148	3.606 6.193 -91.280
ttt_random_weapon	1835.459351 271.699158 2.708415	2.329 -5.549 -93.675
ttt_random_weapon	-885.624573 -1095.549927 17.242891	1.162 4.113 -95.101
ttt_random_weapon	-884.156250 -1045.078491 17.181702	1.996 5.619 -92.222
ttt_random_weapon	-656.947083 -864.125793 17.204214	1.828 6.082 -92.706
ttt_random_weapon	-158.792145 -1407.797485 281.176544	2.139 5.848 -91.993
ttt_random_weapon	-1398.780884 -886.556213 -62.830383	2.216 -5.393 -91.815
ttt_random_weapon	-1093.211304 -679.829468 7.931533	0.503 -11.251 89.030
ttt_random_weapon	-1077.573608 -712.628662 5.037917	0.517 -13.193 89.229
ttt_random_weapon	-905.067322 -1398.097900 -62.961178	1.705 -9.715 -90.713
ttt_random_weapon	-847.136658 -226.574585 235.850708	9.281 1.554 -88.589
ttt_random_weapon	2487.118164 587.756104 1.204497	1.844 4.949 -93.063
ttt_random_weapon	1836.800049 436.380859 1.978681	-2.613 -146.959 -90.479
ttt_random_weapon	259.426025 507.821808 -2.381580	0.836 1.979 -98.769
ttt_random_weapon	-480.184448 464.024384 -62.959896	1.702 -7.651 -90.733
ttt_random_weapon	-653.475769 -1323.218018 57.625179	1.511 0.994 -93.703
ttt_random_weapon	2095.898193 30.904110 385.189026	1.706 5.224 -92.758
ttt_random_weapon	2279.718262 13.886649 385.199890	1.876 5.326 -92.594
ttt_random_weapon	2215.640869 1695.455322 385.217072	1.683 5.349 -93.037
ttt_random_weapon	1331.113159 2134.634521 257.218842	1.663 5.857 -93.084
ttt_random_rare	2256.168213 2298.105469 32.452271	-0.099 0.034 0.077
ttt_random_rare	2260.687012 2356.465820 32.368008	0.019 0.013 0.014
ttt_random_rare	-768.909485 -1291.496094 51.565777	0.008 0.295 -0.003
ttt_random_rare	-837.912598 -253.642044 233.904312	5.531 0.740 0.222
ttt_random_rare	-792.107361 459.760345 52.987568	-2.124 -0.244 107.138
ttt_random_rare	464.691071 3040.153320 264.356781	0.007 0.021 -0.005
ttt_random_rare	-82.935448 3779.037109 4.746730	-0.290 -0.144 -3.155
ttt_random_rare	1800.927612 294.718658 3.575180	2.974 -0.313 2.070
ttt_random_rare	-1095.898804 -1266.563965 10.928887	7.368 -0.785 -5.310
ttt_random_rare	-1081.478027 3214.420898 256.334503	0.002 0.000 -0.001
ttt_random_ammo	565.649841 2770.783447 16.401306	1.542 0.031 1.596
ttt_random_ammo	586.333740 2771.154297 16.417990	1.291 0.026 1.340
ttt_random_ammo	35.375000 2961.487793 264.365906	0.023 0.018 -0.894
ttt_random_ammo	500.459412 2954.146240 264.413879	1.419 0.025 1.459
ttt_random_ammo	139.820190 3187.885010 16.402664	1.529 0.033 1.571
ttt_random_ammo	129.295013 3189.703613 16.458790	0.622 0.017 0.643
ttt_random_ammo	313.042023 3084.196777 16.391750	1.767 0.027 1.821
ttt_random_ammo	1054.843262 1887.769165 -61.280907	89.009 131.203 90.262
ttt_random_ammo	998.615784 1912.235962 -61.328159	-0.996 -47.095 -89.994
ttt_random_ammo	2061.688232 2283.960938 29.756058	-71.532 -179.657 -173.192
ttt_random_ammo	2045.637451 1160.401001 24.701874	-70.815 178.748 172.029
ttt_random_ammo	2032.136230 1161.437622 20.013853	-70.287 178.313 172.990
ttt_random_ammo	1867.705688 471.280396 -0.438878	-1.907 -0.762 0.130
ttt_random_ammo	1840.693848 468.741455 -0.916895	-1.943 -0.985 0.104
ttt_random_ammo	2083.601074 1124.935303 33.432907	1.897 1.256 -0.237
ttt_random_ammo	2096.826416 1101.720093 33.427769	1.102 1.363 -0.316
ttt_random_ammo	1839.777344 245.450592 2.202106	0.529 -0.454 -2.891
ttt_random_ammo	-896.850220 -1114.358887 16.382320	0.057 0.020 0.846
ttt_random_ammo	-884.406128 -1111.650391 16.457176	-0.826 -0.012 1.490
ttt_random_ammo	-904.021729 -1045.001099 16.403477	-0.691 0.006 1.716
ttt_random_ammo	-682.770996 -861.486572 16.396942	1.471 0.030 1.564
ttt_random_ammo	-118.973915 -1441.822388 280.360901	0.346 -0.000 -0.000
ttt_random_ammo	-196.553879 -1405.917603 280.376312	0.766 0.004 0.567
ttt_random_ammo	-1243.475708 374.121368 -61.290749	-1.268 88.896 90.008
ttt_random_ammo	-1239.871948 406.881073 -61.288601	-0.000 -173.336 -90.000
ttt_random_ammo	-1408.504395 -870.956665 -61.266163	89.406 128.263 89.275
ttt_random_ammo	-1394.358765 -865.159668 -61.318367	-0.751 -49.304 -89.994
ttt_random_ammo	-1031.656494 -669.503113 7.957435	1.581 1.533 94.915
ttt_random_ammo	-1031.593506 -700.621765 5.629495	1.513 2.621 94.678
ttt_random_ammo	1818.661011 349.612610 4.674227	4.703 -1.620 2.138
ttt_random_ammo	1787.296509 367.821747 6.836851	-0.655 0.092 2.766
ttt_random_ammo	2142.674561 31.461706 384.376038	0.716 0.003 0.473
ttt_random_ammo	2282.476563 33.380390 384.371704	0.539 0.001 0.245
ttt_random_ammo	2290.872559 33.306644 384.427704	1.156 0.024 1.195
ttt_random_ammo	2154.997070 1980.825317 384.393890	1.743 0.022 1.799
ttt_random_grenade	-117.787140 -1479.028809 284.211700	-1.386 0.010 -0.786
ttt_random_grenade	-117.111214 -1470.726440 284.194489	-1.706 0.015 -0.983
ttt_random_grenade	-116.590218 -1465.577515 284.258453	-2.352 -0.020 3.070
ttt_random_grenade	-204.273788 -1480.509644 284.188843	-1.812 0.017 -1.045
ttt_random_grenade	-203.906281 -1476.033203 284.217010	-1.293 0.008 -0.716
ttt_random_grenade	-203.092987 -1469.525024 284.207184	-1.469 0.011 -0.841
ttt_random_grenade	-194.070938 -1482.895264 284.167145	-0.407 0.001 -0.232
ttt_random_grenade	-129.512131 -1483.387085 284.175568	-0.379 0.001 -0.212
ttt_random_grenade	-759.164856 -865.176025 20.173841	2.302 -0.118 -0.043
ttt_random_grenade	-897.548645 -852.171570 20.231373	-1.112 0.006 -0.394
ttt_random_grenade	-389.969635 -35.411331 -5.663258	73.520 155.385 -65.808
ttt_random_grenade	-801.674988 476.595337 20.222836	-1.202 0.007 -0.617
ttt_random_grenade	-795.767822 479.622894 20.181265	-1.954 0.019 -1.128
ttt_random_grenade	-763.195862 484.623566 20.197226	-1.656 0.014 -0.954
ttt_random_grenade	-757.137634 480.471985 20.191750	-2.030 0.000 -0.000
ttt_random_grenade	-1048.814819 3175.353516 20.216089	-1.460 0.011 -0.823
ttt_random_grenade	-1049.099854 3186.152344 20.230705	-1.239 0.008 -0.487
ttt_random_grenade	-1051.471191 3198.270752 20.219122	-1.401 0.010 -0.777
ttt_random_grenade	-1063.937622 3325.337891 20.198551	-1.822 0.017 -1.050
ttt_random_grenade	-1066.589844 3320.957031 20.232271	-1.243 0.008 -0.401
ttt_random_grenade	-1061.382080 3304.906250 20.191708	-1.964 0.019 -1.134
ttt_random_grenade	-1044.396240 3112.094971 20.169436	-0.419 0.001 -0.238
ttt_random_grenade	-1057.058472 3118.346436 20.152876	-0.479 0.001 -0.275
ttt_random_grenade	-1072.255493 3132.910400 20.144758	-0.508 0.001 -0.293
ttt_random_grenade	-1041.487549 3344.485840 20.162354	-0.444 0.001 -0.254
ttt_random_grenade	-1059.626221 3352.270996 20.142651	-0.516 0.001 -0.297
ttt_random_grenade	-1087.107178 3353.955566 20.156754	-0.464 0.001 -0.267
