# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_richland
# Exported by: LOL 8===D PEEPEE
setting:	replacespawns 0
ttt_random_weapon	-587.291016 1626.328979 81.677116	-1.960 9.027 85.013
ttt_random_weapon	257.260345 1909.508057 81.658859	-2.009 9.894 84.555
ttt_random_weapon	-544.537476 1939.898804 -62.790321	1.401 -9.163 -93.265
ttt_random_weapon	476.613586 -351.243927 180.249405	-6.893 -14.562 173.603
ttt_random_weapon	516.824951 -262.141174 232.261093	0.194 -5.840 -95.321
ttt_random_weapon	408.153290 -361.493744 177.759521	-2.029 179.751 86.810
ttt_random_weapon	273.264923 370.803040 177.234360	1.356 6.109 -93.635
ttt_random_weapon	-330.917755 -286.205841 177.239929	1.346 6.130 -93.719
ttt_random_weapon	-263.788086 -250.414474 177.213196	1.395 -8.933 -93.318
ttt_random_weapon	-410.214600 -242.530014 177.734009	-2.269 9.313 86.491
ttt_random_weapon	-668.377014 407.711823 180.506638	10.305 88.669 84.825
ttt_random_weapon	676.222107 -366.521179 227.735703	48.835 42.071 92.008
ttt_random_weapon	1383.491821 -1450.570801 72.221542	1.380 2.506 -93.443
ttt_random_weapon	795.404724 -1092.685181 -140.759460	1.345 -9.804 -93.728
ttt_random_weapon	766.211548 -1158.759644 -140.272476	-2.243 -19.846 85.347
ttt_random_weapon	-1118.896240 -1333.532715 153.724136	-2.325 9.380 85.908
ttt_random_weapon	-103.023811 1661.458252 -133.790314	1.401 1.570 -93.265
ttt_random_weapon	19.641010 1553.370972 225.742462	-2.175 6.243 86.410
ttt_random_weapon	588.366821 1597.879517 49.738380	-1.925 11.554 85.118
ttt_random_weapon	-325.656464 1570.149414 -62.278442	-2.423 7.758 86.812
ttt_random_weapon	637.634399 1521.227783 277.707672	-1.502 60.758 85.462
ttt_random_weapon	-412.701843 1944.842041 81.195732	1.424 6.433 -93.058
ttt_random_weapon	30.852690 -35.603161 -126.314133	-2.121 12.044 84.662
ttt_random_weapon	-35.316299 -37.431377 -126.252228	-2.035 7.317 85.368
ttt_random_weapon	-587.433899 1571.522339 82.755493	-4.423 0.148 -5.284
ttt_random_rare	475.911285 -82.658897 184.501175	0.041 -3.017 0.041
ttt_random_rare	-1242.907227 2067.366699 174.123230	6.716 0.554 6.333
ttt_random_rare	-656.413513 698.847412 20.542984	0.038 -0.003 0.037
ttt_random_rare	1004.333801 1659.445435 252.660019	0.012 -0.019 0.183
ttt_random_rare	-1102.688232 -1308.835449 23.850439	0.000 0.000 0.001
ttt_random_rare	-628.242432 -247.143356 308.454071	-0.007 -0.012 0.006
ttt_random_rare	626.298645 251.119492 308.425018	0.017 -0.000 0.015
ttt_random_rare	-170.732864 1771.197021 -63.564629	0.035 -0.000 0.035
ttt_random_rare	789.630005 -713.280396 -141.591736	0.008 -0.000 0.006
ttt_random_rare	1428.404663 -1395.026978 24.412596	0.008 0.000 0.007
ttt_random_ammo	-523.933167 285.059845 83.058960	0.569 -0.926 0.213
ttt_random_ammo	-523.667908 275.463348 83.048225	0.723 -0.880 0.184
ttt_random_ammo	688.226074 573.055481 -127.613586	-0.865 6.018 0.156
ttt_random_ammo	-693.240784 571.506042 -127.534599	-0.236 6.125 0.043
ttt_random_ammo	-764.737915 432.329956 308.471252	0.091 0.785 -0.017
ttt_random_ammo	764.390015 -429.606964 308.388885	0.850 1.188 0.132
ttt_random_ammo	-1007.069946 -310.923523 176.374573	0.358 0.225 -0.096
ttt_random_ammo	47.270546 310.425323 -127.601212	0.452 -0.463 -0.080
ttt_random_ammo	-51.524231 307.466644 -127.612000	0.497 -0.436 -0.087
ttt_random_ammo	-597.018127 38.996498 58.383934	-0.544 0.272 0.084
ttt_random_ammo	585.418518 -39.335445 58.360691	0.524 -0.040 0.094
ttt_random_ammo	936.709351 -348.604858 213.339355	0.097 0.558 -0.363
ttt_random_ammo	-258.181458 -73.824173 209.989899	-0.353 0.892 -0.028
ttt_random_ammo	523.447632 256.140045 82.994072	-0.723 -0.820 1.059
ttt_random_ammo	-656.961121 36.971497 58.353973	-0.472 0.173 0.091
ttt_random_ammo	-318.838257 1945.978271 114.366020	0.612 0.127 -1.572
ttt_random_ammo	647.565308 -53.087982 568.357178	-0.139 -0.503 -0.129
ttt_random_ammo	-641.912415 -52.142712 568.398254	-0.481 -0.567 -0.169
ttt_random_ammo	35.740974 56.459373 -127.526604	-0.566 -4.112 0.018
ttt_random_ammo	663.890991 1.431986 308.430054	-0.650 1.406 -0.967
ttt_random_ammo	-594.280823 0.621252 308.413330	-0.860 1.422 -1.272
ttt_random_ammo	530.745422 1490.650269 17.363462	0.433 -0.515 -0.075
ttt_random_ammo	587.138855 1768.890137 48.425449	-0.235 0.546 -0.042
ttt_random_ammo	-607.986206 1839.977783 80.415298	-0.314 0.655 -0.055
ttt_random_ammo	733.536377 270.526733 81.706444	-0.230 0.068 -0.197
ttt_random_ammo	733.595520 260.508575 81.743126	-0.147 0.482 -0.140
ttt_random_ammo	522.323425 -249.386566 231.354996	-0.110 0.115 0.839
ttt_random_ammo	523.059204 -311.054901 231.389755	-0.544 0.004 0.179
ttt_random_ammo	524.003174 -289.206970 231.397400	0.763 1.449 -0.124
ttt_random_ammo	524.712402 -375.842926 231.399384	0.071 3.521 0.017
ttt_random_ammo	258.505676 242.702103 264.437164	0.277 -0.024 0.047
ttt_random_ammo	-598.300232 -364.804810 222.382645	-0.050 -0.224 0.760
ttt_random_ammo	-562.141479 -367.082123 242.358261	0.065 -0.076 -0.414
ttt_random_ammo	-257.006226 376.521759 176.375290	-0.394 0.453 -0.065
ttt_random_ammo	-860.514099 330.353516 176.394577	-0.355 0.111 -0.057
ttt_random_ammo	-917.754944 367.208252 176.383591	-0.070 -0.206 0.085
ttt_random_ammo	1439.862183 -1455.197876 71.381790	0.503 -0.286 0.078
ttt_random_ammo	143.210480 -1214.002563 32.622921	0.746 -0.064 1.084
ttt_random_ammo	-92.153107 1619.474854 -134.601135	0.470 -0.257 0.090
ttt_random_ammo	626.571777 439.374329 308.361420	-0.342 -0.393 0.044
ttt_random_ammo	-627.570190 -450.391663 308.408447	0.592 -0.141 -0.798
ttt_random_ammo	-404.332031 1916.265503 80.425934	0.270 -0.049 0.048
ttt_random_ammo	-1071.371094 1572.070557 40.370628	-0.992 5.894 0.179
ttt_random_ammo	-1495.481323 1134.279785 1.419880	-0.942 6.448 0.208
ttt_random_grenade	-791.940247 23.711449 88.225975	-3.083 -0.636 -2.264
ttt_random_grenade	-702.318787 33.817673 22.236340	76.133 174.961 -90.000
ttt_random_grenade	-788.285217 -24.306370 88.233643	0.500 -0.892 3.530
ttt_random_grenade	-753.375305 -135.660721 88.236176	-4.221 1.527 -1.128
ttt_random_grenade	-530.912964 -134.899033 88.270561	-1.310 1.959 -0.342
ttt_random_grenade	-469.137909 -34.694927 24.267275	-2.224 2.585 -0.830
ttt_random_grenade	-602.674683 43.467514 22.145802	-22.685 -26.924 90.015
ttt_random_grenade	-502.546478 135.034668 88.246300	-2.787 1.872 -0.435
ttt_random_grenade	466.208771 39.950363 24.229404	2.255 1.490 -2.605
ttt_random_grenade	488.739960 123.921860 24.201416	-2.392 2.187 2.203
ttt_random_grenade	460.651459 -35.334156 24.275923	-0.741 1.670 -0.189
ttt_random_grenade	651.957031 -39.014935 22.213930	-19.689 -6.708 89.805
ttt_random_grenade	729.517456 -134.105988 88.214188	2.041 0.449 -3.372
ttt_random_grenade	726.032471 135.158447 88.239685	-2.840 2.119 -0.228
ttt_random_grenade	753.650330 134.145370 88.272659	0.314 0.657 -0.549
ttt_random_grenade	437.360352 122.549614 66.477005	-0.118 -1.178 0.615
ttt_random_grenade	586.342224 -125.423447 66.426353	-1.657 -2.531 1.144
ttt_random_grenade	811.917847 -125.736420 66.431221	3.087 -1.837 1.370
ttt_random_grenade	663.302429 124.478676 66.440575	-2.618 1.267 -0.178
ttt_random_grenade	-821.406250 122.836525 66.421249	-3.756 1.763 -0.282
ttt_random_grenade	-671.613159 -125.069046 66.417946	3.657 -0.347 3.202
ttt_random_grenade	-447.247864 -125.052773 66.451378	-0.885 -3.608 1.430
ttt_random_grenade	-595.330383 124.616211 66.421135	-0.417 -1.328 2.782
ttt_random_grenade	639.796021 -5.297090 572.187256	-0.076 -0.000 -0.005
ttt_random_grenade	-615.184570 17.393667 572.224487	-0.046 -0.009 -0.805
ttt_random_grenade	593.888123 1556.113892 228.110458	-0.119 0.000 -0.068
ttt_random_grenade	-1145.135498 -1169.617920 284.162933	-0.086 0.000 -0.041
ttt_random_grenade	-1098.361816 -1210.741699 284.214325	-0.054 -0.002 -0.151
ttt_random_grenade	515.498535 -354.673615 235.197708	-0.368 -0.035 -0.021
ttt_random_grenade	517.437317 -362.364258 235.176590	-0.085 0.000 -0.021
